net,length_um
clknet_4_12__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,379.47µm
_12246_,379.32µm
net658,379.22µm
net1138,378.91µm
net4,378.81µm
_10651_,378.74µm
net1699,378.2µm
_23819_,378.1µm
net589,377.98µm
net601,377.92µm
net802,377.84µm
net61,377.43µm
_20591_,377.13µm
net48,376.97µm
_18477_,376.67µm
clknet_4_5__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,376.67µm
net96,376.62µm
net1065,376.52µm
_20165_,376.11µm
net49,376.11µm
net401,376.07µm
net930,376.06µm
net1294,376.01µm
net2062,375.96µm
_12365_,375.6µm
net1032,375.5µm
_23871_,375.35µm
_20291_,374.99µm
net1792,374.94µm
_12370_,374.84µm
net2133,374.79µm
net784,374.33µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.clint_mtime_o\[0\],374.23µm
net1825,374.18µm
net586,373.87µm
net455,373.67µm
net1790,373.54µm
net926,373.34µm
net207,373.32µm
_20583_,373.26µm
_05708_,372.85µm
_08583_,372.8µm
i_core_v_mini_mcu.ao_peripheral_slave_resp\[1\],372.45µm
_20290_,372.24µm
net1763,372.04µm
net1583,371.53µm
net2128,371.48µm
_18456_,371.12µm
_20422_,370.97µm
_05706_,370.87µm
net757,370.61µm
_12227_,370.34µm
_12226_,370.25µm
net1208,370.1µm
net796,369.89µm
net2022,369.8µm
net439,369.14µm
i_core_v_mini_mcu.peripheral_subsystem_i.obi_fifo_i.consumer_data_req\[28\],369.09µm
_20404_,368.98µm
net1199,368.8µm
net1191,368.77µm
net1236,368.73µm
_25824_,368.68µm
i_core_v_mini_mcu.ao_peripheral_slave_resp\[14\],368.12µm
net1035,367.71µm
net585,367.66µm
net1200,367.51µm
net992,367.2µm
_12274_,367.1µm
net95,367.05µm
net1801,367.05µm
net1276,366.64µm
net962,366.59µm
net1284,366.49µm
_16920_,366.24µm
net1168,366.08µm
net239,365.98µm
_22190_,365.93µm
net686,365.93µm
_16976_,365.73µm
net374,365.72µm
net1299,365.72µm
_18487_,365.57µm
_18611_,365.52µm
net2124,365.32µm
_10716_,365.27µm
net274,364.76µm
net2132,364.71µm
_25446_,364.35µm
_18162_,364.05µm
net1097,363.91µm
net632,363.84µm
net418,363.59µm
net221,363.33µm
_05830_,363.23µm
net175,363.18µm
net1095,363.06µm
net1232,363.03µm
_15095_,362.95µm
_20364_,362.82µm
net51,362.72µm
net905,362.57µm
net495,362.52µm
_17993_,361.96µm
net1217,361.91µm
i_core_v_mini_mcu.peripheral_subsystem_i.uart_i.reg2hw\[86\],361.64µm
net493,360.84µm
net645,360.84µm
_18155_,360.69µm
_23808_,360.69µm
