net,length_um
i_core_v_mini_mcu.memory_subsystem_i.ram0_i.rdata_o\[1\],411.09µm
_12401_,410.93µm
_10384_,410.83µm
clknet_4_10_0_clk_i_regs,410.73µm
_26087_,410.36µm
net1216,410.07µm
_24466_,409.71µm
net1018,409.66µm
net1223,409.41µm
_12510_,408.59µm
clknet_4_5_0_clk_i_regs,408.59µm
net373,408.49µm
net843,407.98µm
_12688_,407.84µm
_26701_,407.83µm
_12392_,407.78µm
net1016,407.37µm
net1964,407.32µm
_14581_,407.22µm
net375,406.96µm
net418,406.76µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.spi_subsystem_i.obi_spimemio_i.cfgreg_do\[19\],406.71µm
_14594_,406.66µm
_16542_,406.66µm
_12676_,406.45µm
clknet_4_13_0_clk_i_regs,406.2µm
net1496,406.12µm
net406,405.72µm
net1002,405.54µm
_17610_,405.5µm
net1248,405.37µm
net1566,405.33µm
net1017,405.26µm
net1526,405.21µm
net941,405.18µm
_12621_,404.98µm
net1468,404.57µm
_12579_,404.47µm
net1333,404.37µm
net437,404.32µm
net1627,404.06µm
net942,404.01µm
net804,403.91µm
clknet_4_0_0_clk_i_regs,403.5µm
net457,403.35µm
net438,403.3µm
net801,402.99µm
net224,402.54µm
net1457,402.38µm
net1520,402.23µm
net465,401.72µm
net1254,401.63µm
net1640,401.41µm
net1095,401.26µm
net552,401.21µm
net414,401.13µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.spi_subsystem_i.obi_spimemio_i.cfgreg_do\[20\],400.85µm
_12851_,400.76µm
net377,400.6µm
net1658,400.55µm
net1213,400.13µm
_10604_,400.09µm
_10684_,400.04µm
_16836_,399.89µm
_19185_,399.78µm
_10385_,399.58µm
clknet_4_3_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,399.58µm
_14504_,399.53µm
_17628_,399.53µm
net1135,399.48µm
net366,399.37µm
net1915,398.97µm
net1448,398.59µm
net525,398.51µm
net1198,398.46µm
clknet_4_8_0_clk_i_regs,398.46µm
_10952_,398.43µm
net1453,398.4µm
_12597_,398.36µm
net1267,398.05µm
_26493_,397.85µm
net1212,397.85µm
net839,397.29µm
net1342,397.14µm
net1322,397.11µm
net812,397µm
_14530_,396.78µm
net686,396.73µm
_12823_,396.68µm
net833,396.64µm
net591,396.49µm
_10625_,396.17µm
_14588_,395.87µm
clknet_4_1_0_clk_i_regs,395.61µm
net275,395.56µm
_10910_,395.15µm
_14484_,395.15µm
_14430_,395µm
_10644_,394.85µm
_12536_,394.64µm
net386,394.49µm
_14187_,394.1µm
net1510,393.88µm
_14557_,393.87µm
net417,393.87µm
net1194,393.83µm
net1462,393.83µm
_14520_,393.34µm
_16652_,393.12µm
net908,392.91µm
_10632_,392.63µm
_14007_,392.56µm
net431,392.37µm
_18326_,392.25µm
_12507_,392.2µm
net977,392.2µm
net844,391.42µm
_14551_,391.08µm
net1802,391.08µm
net468,390.93µm
_25093_,390.62µm
net1506,390.57µm
_19226_,390.49µm
clknet_2_3__leaf_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,390.16µm
_25406_,390.11µm
net871,390.11µm
_14521_,389.76µm
net685,389.21µm
_18421_,388.84µm
net1234,388.38µm
_14489_,388.23µm
net1221,388.05µm
_16592_,387.97µm
_23242_,387.87µm
net1470,387.82µm
net1411,387.67µm
net1256,387.32µm
net1610,387.21µm
net231,387.16µm
_19350_,387.06µm
_10413_,386.7µm
net403,386.65µm
net1513,386.6µm
_12472_,386.45µm
net1253,386.4µm
net1446,386.29µm
clknet_4_15_0_clk_i_regs,386.04µm
_11492_,385.43µm
net1547,385.37µm
net382,385.22µm
clknet_4_6_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,385.02µm
_12540_,384.97µm
_14541_,384.71µm
_12669_,384.58µm
net1197,384.31µm
net1660,384.31µm
_10555_,384.08µm
net778,384µm
net845,383.9µm
i_core_v_mini_mcu.peripheral_slave_resp\[11\],383.75µm
net814,383.65µm
i_core_v_mini_mcu.peripheral_slave_resp\[1\],383.6µm
net1101,383.39µm
net983,383.33µm
_05828_,383.19µm
_09582_,383.19µm
net1192,383.19µm
net863,382.73µm
clknet_4_7_0_clk_i_regs,382.73µm
i_core_v_mini_mcu.core_data_req\[12\],382.68µm
_21593_,382.63µm
net533,382.43µm
net880,382.17µm
net862,382.12µm
_23446_,381.86µm
_05646_,381.46µm
net390,381.2µm
_24396_,381.15µm
_17042_,380.95µm
net266,380.85µm
_11518_,380.78µm
_21553_,380.59µm
net835,380.28µm
net336,379.83µm
net1654,379.32µm
net1515,378.67µm
net1201,378.3µm
net964,378.05µm
net459,377.74µm
net881,377.23µm
i_core_v_mini_mcu.peripheral_slave_resp\[0\],377.03µm
net891,377.02µm
i_core_v_mini_mcu.core_data_req\[6\],376.72µm
_10918_,376.56µm
_12606_,376.37µm
net536,376.01µm
net1345,376.01µm
net962,375.96µm
i_core_v_mini_mcu.core_data_req\[15\],375.86µm
_11570_,375.45µm
_17094_,375.45µm
net1041,375.4µm
net981,374.99µm
_12522_,374.84µm
net461,374.84µm
_17542_,374.79µm
_21646_,374.79µm
net1188,374.79µm
_10575_,374.74µm
_16532_,374.48µm
_05970_,374.4µm
net367,374.38µm
net1498,374.23µm
net1193,373.82µm
net1524,373.82µm
_12397_,373.77µm
net925,373.77µm
net1443,373.67µm
_06010_,373.57µm
net1124,372.7µm
net837,372.24µm
net900,372.09µm
_17037_,372.04µm
net1564,371.72µm
