net,length_um
_05909_,414.5µm
_06529_,413.99µm
_06526_,412.82µm
_18204_,412.59µm
_04632_,412.51µm
_25929_,412µm
i_core_v_mini_mcu.core_data_req\[8\],411.9µm
_24141_,411.39µm
_05610_,411.34µm
net753,410.83µm
net939,410.69µm
net699,410.68µm
_26194_,410.63µm
net483,410.58µm
_24609_,410.52µm
net931,410.4µm
_19448_,410.05µm
_24125_,409.76µm
_05538_,409.66µm
_14467_,409.61µm
net495,409.61µm
_12502_,409.42µm
_18590_,409.4µm
_18244_,409.15µm
_12388_,409.11µm
_18591_,408.95µm
_10877_,408.77µm
_10826_,408.24µm
net230,408.03µm
clknet_3_6__leaf_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,407.98µm
net676,407.88µm
_18909_,407.83µm
_25986_,407.42µm
net1283,407.17µm
_24824_,407.01µm
net1040,406.76µm
_07833_,406.66µm
net229,406.45µm
net904,406.4µm
net566,406.32µm
_26399_,406.1µm
_24166_,406.04µm
_24521_,405.99µm
_24362_,405.89µm
_18198_,405.64µm
_15906_,405.38µm
net385,405.13µm
spi_flash_sd_io[0],404.28µm
net681,404.06µm
_23950_,403.83µm
net598,403.79µm
_25956_,403.65µm
net389,403.58µm
_12326_,403.39µm
_19381_,403.35µm
net289,403.3µm
net648,402.89µm
_25082_,402.84µm
_15504_,402.58µm
_12409_,402.23µm
net560,402.23µm
net461,402.18µm
_22998_,401.57µm
_25695_,400.95µm
_06484_,400.85µm
_17716_,400.85µm
_10673_,400.29µm
net319,399.78µm
clknet_3_0__leaf_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,399.07µm
net435,399µm
net840,398.92µm
_10794_,398.54µm
net670,398.36µm
_26200_,398µm
_18899_,397.8µm
net442,397.65µm
_26497_,397.6µm
net817,397.39µm
net909,397.39µm
clknet_4_7__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,397.34µm
net546,397.32µm
_06598_,397.24µm
net774,396.87µm
net941,396.78µm
_21402_,396.68µm
_06736_,396.47µm
_23001_,395.83µm
i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.i_servile.cpu.immdec.gen_immdec_w_eq_1.imm11_7\[0\],395.3µm
_21661_,394.69µm
_10855_,394.07µm
_15501_,393.98µm
net820,393.52µm
net751,393.42µm
_10600_,393.26µm
_11029_,393.12µm
_25683_,393.12µm
_24368_,393.11µm
_07180_,393.07µm
_06457_,392.86µm
_05766_,392.82µm
net595,392.76µm
net903,392.71µm
_16984_,392.66µm
_24608_,392.64µm
_19777_,392.15µm
net390,392.1µm
_16323_,391.74µm
net409,391.59µm
_11383_,391.18µm
_24124_,391.18µm
net759,391.18µm
_26205_,391.03µm
_25018_,390.51µm
net738,390.42µm
net1258,390.42µm
_12356_,390.35µm
net839,390.11µm
_20750_,389.96µm
_07071_,389.85µm
_12316_,389.47µm
_14524_,389.45µm
net843,389.4µm
_05843_,389.35µm
_25989_,389.2µm
net907,389.19µm
net334,389.18µm
_24234_,389.14µm
_05710_,388.89µm
_16947_,388.84µm
_10569_,388.79µm
_06877_,388.53µm
_25484_,388.51µm
net700,388.43µm
_24189_,388.38µm
net711,388.33µm
_06969_,388.28µm
_17712_,388.28µm
net498,388.28µm
_18400_,387.77µm
_24971_,387.77µm
_08380_,387.72µm
_10917_,387.72µm
net285,387.36µm
_25992_,387.31µm
_16341_,387.29µm
_13949_,386.7µm
_14931_,386.7µm
net487,386.65µm
net844,385.99µm
net948,385.99µm
net650,385.81µm
clknet_4_14__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,385.29µm
_07073_,385.17µm
net231,385.02µm
_05917_,384.87µm
net391,384.87µm
_10595_,384.36µm
_17296_,384.36µm
net868,384.15µm
_09199_,384.1µm
_24032_,383.9µm
net772,383.85µm
_23174_,383.55µm
_20487_,383.29µm
_07283_,383.24µm
clknet_3_4_0_clk_i_regs,383.09µm
net915,382.73µm
_16430_,382.12µm
_21377_,382.12µm
net314,381.82µm
_26092_,381.38µm
net392,380.95µm
_26299_,380.73µm
_20760_,380.64µm
_09417_,380.54µm
_10846_,380.49µm
net306,380.44µm
net501,380.44µm
net694,380.08µm
_06611_,380.03µm
_14466_,379.93µm
_25354_,379.93µm
_20885_,379.73µm
_26374_,379.32µm
_14447_,379.23µm
_05661_,379.22µm
_22863_,379.22µm
_05773_,378.4µm
_24977_,378.3µm
net570,378.15µm
_10745_,378.1µm
net1311,378.1µm
_10756_,377.59µm
_12621_,377.59µm
_08224_,377.54µm
net589,377.54µm
net1295,377.48µm
_12816_,377.41µm
net292,377.28µm
clknet_4_3__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,377.28µm
_14330_,376.99µm
_18851_,376.93µm
net351,376.77µm
_07168_,376.72µm
_06462_,376.62µm
_10792_,376.57µm
net540,376.47µm
net878,376.16µm
_24480_,376.06µm
net686,375.61µm
_12309_,375.45µm
_05705_,375.35µm
_25097_,375.14µm
net463,374.89µm
_25841_,374.88µm
_12397_,374.56µm
_12476_,374.33µm
net301,374.33µm
_18313_,374.28µm
_24079_,374.28µm
net547,374.21µm
_12541_,373.21µm
net397,373.21µm
_25888_,373.12µm
_12378_,372.65µm
clknet_3_3_0_clk_i_regs,372.04µm
_05546_,371.98µm
_16388_,371.53µm
net1114,371.53µm
net277,371.2µm
net720,371.07µm
_12317_,370.92µm
net1298,370.92µm
_07137_,370.87µm
net1309,370.77µm
_12443_,370.46µm
_11059_,370.41µm
net324,370.41µm
net644,370.36µm
net1294,370.29µm
net315,370.13µm
_06583_,370.1µm
_06838_,369.34µm
_15539_,369.34µm
_26173_,369.34µm
net279,369.29µm
_06469_,369.18µm
_06869_,368.17µm
_17489_,367.75µm
_24241_,367.71µm
net901,367.71µm
net603,367.61µm
net490,367.51µm
net947,367.36µm
net667,367.1µm
_24147_,367.05µm
net477,367µm
_12420_,366.74µm
_25500_,366.59µm
_20664_,366.49µm
_18210_,366.44µm
_06833_,366.39µm
net1290,366.34µm
net924,366.16µm
_24250_,366.13µm
_14928_,366.03µm
net486,365.98µm
_16952_,365.66µm
_05926_,364.71µm
_06602_,364.3µm
_25416_,364.25µm
_07549_,363.99µm
_14319_,363.64µm
_13759_,363.54µm
_10973_,363.18µm
_06972_,362.82µm
_10638_,362.82µm
_24152_,362.82µm
_20758_,362.67µm
_10840_,362.62µm
net1299,362.52µm
net563,362.01µm
_06813_,361.62µm
_20754_,361.5µm
_18208_,361.4µm
_08466_,361.3µm
_13958_,361.3µm
_06729_,361.19µm
_25583_,361.08µm
_27381_,360.94µm
_12573_,360.18µm
_06920_,359.92µm
net620,359.87µm
_08990_,359.82µm
net818,359.8µm
net372,359.26µm
_24111_,358.85µm
net1297,358.75µm
_21419_,358.55µm
clknet_3_5_0_clk_i_regs,358.5µm
net1310,358.5µm
_25832_,358.34µm
_15468_,358.29µm
_24249_,358.29µm
_07206_,358.25µm
_18757_,358.09µm
_10918_,357.94µm
net561,357.94µm
_08186_,357.84µm
_15471_,357.63µm
_12360_,357.58µm
net280,357.58µm
_12349_,357.53µm
_05533_,357.43µm
net23,357.28µm
_12376_,357.12µm
_10610_,357.07µm
_25317_,357.02µm
net167,356.75µm
_11367_,356.65µm
_26033_,356.56µm
_26145_,356.56µm
_10742_,356.39µm
_09168_,356.36µm
_10799_,356.36µm
clknet_4_12__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,356.36µm
_12350_,356.26µm
net529,356.26µm
net610,356.13µm
_05550_,355.8µm
_12379_,355.8µm
_20747_,355.8µm
_12348_,355.7µm
_26067_,355.7µm
_18458_,355.54µm
_20365_,355.54µm
_26259_,355.54µm
_20377_,355.29µm
_25604_,355.29µm
_26049_,355.29µm
_08264_,355.19µm
_12395_,355.19µm
_16721_,355.14µm
_25251_,355.08µm
net962,355.03µm
_12746_,354.63µm
_07000_,354.58µm
i_core_v_mini_mcu.memory_subsystem_clkgate_en_n,354.53µm
net755,353.78µm
_09161_,353.76µm
_14233_,353.71µm
_14288_,353.71µm
_17293_,353.66µm
_10793_,353.61µm
_12445_,353.58µm
_06491_,353.56µm
net1300,353.56µm
_18357_,353.46µm
_07439_,353.1µm
_12458_,353.1µm
_26141_,353.1µm
_12363_,353.05µm
_16334_,353.05µm
_22573_,353µm
_22800_,352.69µm
_17552_,352.62µm
net1308,352.54µm
_10903_,352.49µm
_21386_,352.44µm
_16675_,352.38µm
_08023_,351.83µm
_26592_,351.83µm
_25386_,351.68µm
_16725_,351.56µm
_16319_,351.27µm
net365,350.76µm
_12403_,350.66µm
_18839_,350.58µm
_18951_,350.56µm
_22611_,350.3µm
_27646_,350.25µm
_05627_,350.15µm
_13985_,350.15µm
_05932_,350.1µm
_22984_,350.05µm
_24118_,349.89µm
net1296,349.78µm
_07410_,349.59µm
net1315,349.59µm
_08343_,349.54µm
_12459_,349.54µm
net418,349.13µm
_06434_,349.08µm
_25943_,349.08µm
_08824_,349.03µm
_19572_,348.98µm
net38,348.62µm
_11355_,348.52µm
_24091_,348.52µm
_08074_,348.21µm
_25252_,348.16µm
_25784_,348.12µm
net908,348.11µm
net796,347.96µm
_24239_,347.65µm
clknet_4_9__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,347.55µm
_18245_,347.4µm
net535,347.19µm
_25052_,346.99µm
_24107_,346.89µm
_12585_,346.79µm
_20756_,346.79µm
_26364_,346.74µm
_11386_,346.48µm
_14864_,345.82µm
net654,345.82µm
clknet_4_3_0_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,345.67µm
_25285_,345.57µm
_10702_,345.39µm
_16320_,345.31µm
net581,345.16µm
net1312,345.16µm
clknet_4_6__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,344.78µm
_16413_,344.55µm
_19335_,344.5µm
_12450_,343.81µm
_06836_,343.62µm
_11360_,343.48µm
_19289_,343.48µm
_24237_,343.43µm
net596,343.33µm
_05813_,342.97µm
_20663_,342.97µm
_27403_,342.83µm
net847,342.41µm
_12339_,342.31µm
net1039,342.31µm
_10814_,342.05µm
_17028_,342µm
_20752_,342µm
net1102,341.8µm
_11392_,341.64µm
_06478_,341.24µm
net474,341.19µm
_24332_,340.88µm
_14340_,340.78µm
_12415_,340.63µm
_17543_,340.63µm
_24928_,340.63µm
_06881_,340.62µm
_10679_,340.45µm
_10597_,340.32µm
_07120_,340.12µm
_12389_,339.93µm
_05898_,339.92µm
net25,339.92µm
_20568_,339.66µm
clknet_4_4__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,339.66µm
net538,339.61µm
_24130_,339.56µm
_24240_,339.5µm
_11357_,339µm
clknet_4_10__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,338.59µm
_10724_,338.54µm
net1292,338.52µm
_12310_,338.49µm
_18840_,338.44µm
clknet_4_5__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,338.39µm
_24199_,338.13µm
_19323_,337.93µm
_19040_,337.78µm
net26,337.68µm
net916,337.62µm
net925,337.52µm
_24618_,337.42µm
net659,337.32µm
_06840_,337.22µm
_14008_,337.06µm
_06677_,336.96µm
_21686_,336.63µm
_18885_,336.61µm
_07046_,336.35µm
_20607_,336.35µm
_16407_,336.25µm
_05552_,335.89µm
_25826_,335.89µm
_04633_,335.74µm
_18448_,335.74µm
net912,335.23µm
_22602_,335.18µm
_17500_,335.13µm
_06979_,334.72µm
_24432_,334.62µm
net945,334.52µm
net744,334.47µm
_05883_,334.42µm
_18716_,334.32µm
net862,334.11µm
_12381_,334.06µm
_08065_,333.76µm
_27408_,333.75µm
_24210_,333.7µm
_14452_,333.69µm
_12429_,333.35µm
net779,333.3µm
_05596_,333.25µm
_24174_,333.14µm
_10844_,332.94µm
_16956_,332.79µm
_16500_,332.28µm
clknet_3_2_0_clk_i_regs,332.28µm
net1206,332.23µm
_14441_,331.82µm
_16746_,331.82µm
_08868_,331.77µm
net1317,331.72µm
_12387_,331.21µm
_12382_,331.16µm
_16658_,331.06µm
net1287,331.01µm
_12341_,330.96µm
net954,330.75µm
_10596_,330.55µm
